Year,Month,Entry Type,Tax Type,Amount
2007,January,Profile,Capital Gains Tax,160000
2007,January,Profile,Capital Acquisitions Tax,27440
2007,January,Profile,Stamps,312770
2007,January,Profile,Income Tax,1273150
2007,January,Profile,Corporation Tax,153610
2007,January,Profile,Valued Added Tax,2287640
2007,February,Actual Outturn,Customs,29026
2007,February,Actual Outturn,Excise Duty,438271
2007,February,Actual Outturn,Capital Gains Tax,659655
2007,February,Actual Outturn,Capital Acquisitions Tax,27631
2007,February,Actual Outturn,Stamps,322362
2007,February,Actual Outturn,Income Tax,1068454
2007,February,Actual Outturn,Corporation Tax,553147
2007,February,Actual Outturn,Valued Added Tax,431968
2007,February,Actual Outturn,Training and Employment Levy,792
2007,February,Actual Outturn,Unallocated Tax Receipts,-30939
2007,February,Profile,Customs,25600
2007,February,Profile,Excise Duty,475000
2007,February,Profile,Capital Gains Tax,750000
2007,February,Profile,Capital Acquisitions Tax,27760
2007,February,Profile,Stamps,289480
2007,February,Profile,Income Tax,920940
2007,February,Profile,Corporation Tax,424660
2007,February,Profile,Valued Added Tax,451630
2007,March,Actual Outturn,Customs,23039
2007,March,Actual Outturn,Excise Duty,495661
2007,March,Actual Outturn,Capital Gains Tax,68299
2007,March,Actual Outturn,Capital Acquisitions Tax,35985
2007,March,Actual Outturn,Stamps,256658
2007,March,Actual Outturn,Income Tax,791543
2007,March,Actual Outturn,Corporation Tax,162516
2007,March,Actual Outturn,Valued Added Tax,1750908
2007,March,Actual Outturn,Training and Employment Levy,89
2007,March,Actual Outturn,Unallocated Tax Receipts,15433
2007,March,Profile,Customs,21540
2007,March,Profile,Excise Duty,524700
2007,March,Profile,Capital Gains Tax,102160
2007,March,Profile,Capital Acquisitions Tax,33190
2007,March,Profile,Stamps,306970
2007,March,Profile,Income Tax,849240
2007,March,Profile,Corporation Tax,98850
2007,March,Profile,Valued Added Tax,1826000
2007,April,Actual Outturn,Customs,23158
2007,April,Actual Outturn,Excise Duty,532509
2007,April,Actual Outturn,Capital Gains Tax,58224
2007,April,Actual Outturn,Capital Acquisitions Tax,27523
2007,April,Actual Outturn,Stamps,249816
2007,April,Actual Outturn,Income Tax,964556
2007,April,Actual Outturn,Corporation Tax,101118
2007,April,Actual Outturn,Valued Added Tax,392949
2007,April,Actual Outturn,Training and Employment Levy,272
2007,April,Actual Outturn,Unallocated Tax Receipts,-5387
2007,April,Profile,Customs,23540
2007,April,Profile,Excise Duty,559600
2007,April,Profile,Capital Gains Tax,34080
2007,April,Profile,Capital Acquisitions Tax,27190
2007,April,Profile,Stamps,226930
2007,April,Profile,Income Tax,953630
2007,April,Profile,Corporation Tax,87330
2007,April,Profile,Valued Added Tax,335350
2007,May,Actual Outturn,Customs,27049
2007,May,Actual Outturn,Excise Duty,476637
2007,May,Actual Outturn,Capital Gains Tax,41712
2007,May,Actual Outturn,Capital Acquisitions Tax,38039
2007,May,Actual Outturn,Stamps,262239
2007,May,Actual Outturn,Income Tax,1065112
2007,May,Actual Outturn,Corporation Tax,458936
2007,May,Actual Outturn,Valued Added Tax,2035905
2007,May,Actual Outturn,Training and Employment Levy,89
2007,May,Actual Outturn,Unallocated Tax Receipts,6778
2007,May,Profile,Customs,22300
2007,May,Profile,Excise Duty,514100
2007,May,Profile,Capital Gains Tax,47100
2007,May,Profile,Capital Acquisitions Tax,29920
2007,May,Profile,Stamps,317610
2007,May,Profile,Income Tax,1055960
2007,May,Profile,Corporation Tax,498400
2007,May,Profile,Valued Added Tax,2070860
2007,June,Actual Outturn,Customs,19515
2007,June,Actual Outturn,Excise Duty,485209
2007,June,Actual Outturn,Capital Gains Tax,31532
2007,June,Actual Outturn,Capital Acquisitions Tax,29948
2007,June,Actual Outturn,Stamps,258562
2007,June,Actual Outturn,Income Tax,975873
2007,June,Actual Outturn,Corporation Tax,73091
2007,June,Actual Outturn,Valued Added Tax,335801
2007,June,Actual Outturn,Training and Employment Levy,89
2007,June,Actual Outturn,Unallocated Tax Receipts,567
2007,June,Profile,Customs,22340
2007,June,Profile,Excise Duty,510500
2007,June,Profile,Capital Gains Tax,70960
2007,June,Profile,Capital Acquisitions Tax,38440
2007,June,Profile,Stamps,339990
2007,June,Profile,Income Tax,893040
2007,June,Profile,Corporation Tax,120350
2007,June,Profile,Valued Added Tax,326340
2007,July,Actual Outturn,Customs,19195
2007,July,Actual Outturn,Excise Duty,516020
2007,July,Actual Outturn,Capital Gains Tax,44601
2007,July,Actual Outturn,Capital Acquisitions Tax,34459
2007,July,Actual Outturn,Stamps,329580
2007,July,Actual Outturn,Income Tax,999527
2007,July,Actual Outturn,Corporation Tax,102378
2007,July,Actual Outturn,Valued Added Tax,2169119
2007,July,Actual Outturn,Training and Employment Levy,208
2007,July,Actual Outturn,Unallocated Tax Receipts,-20794
2007,July,Profile,Customs,22060
2007,July,Profile,Excise Duty,505900
2007,July,Profile,Capital Gains Tax,36090
2007,July,Profile,Capital Acquisitions Tax,25160
2007,July,Profile,Stamps,405620
2007,July,Profile,Income Tax,917310
2007,July,Profile,Corporation Tax,80880
2007,July,Profile,Valued Added Tax,2086420
2007,August,Actual Outturn,Customs,20732
2007,August,Actual Outturn,Excise Duty,443373
2007,August,Actual Outturn,Capital Gains Tax,52961
2007,August,Actual Outturn,Capital Acquisitions Tax,36380
2007,August,Actual Outturn,Stamps,269298
2007,August,Actual Outturn,Income Tax,964222
2007,August,Actual Outturn,Corporation Tax,203855
2007,August,Actual Outturn,Valued Added Tax,321751
2007,August,Actual Outturn,Unallocated Tax Receipts,24144
2007,August,Profile,Customs,24730
2007,August,Profile,Excise Duty,489300
2007,August,Profile,Capital Gains Tax,47790
2007,August,Profile,Capital Acquisitions Tax,36490
2007,August,Profile,Stamps,363130
2007,August,Profile,Income Tax,941720
2007,August,Profile,Corporation Tax,277820
2007,August,Profile,Valued Added Tax,410300
2007,September,Actual Outturn,Customs,20444
2007,September,Actual Outturn,Excise Duty,483838
2007,September,Actual Outturn,Capital Gains Tax,51248
2007,September,Actual Outturn,Capital Acquisitions Tax,29750
2007,September,Actual Outturn,Stamps,211056
2007,September,Actual Outturn,Income Tax,887039
2007,September,Actual Outturn,Corporation Tax,460693
2007,September,Actual Outturn,Valued Added Tax,1999690
2007,September,Actual Outturn,Unallocated Tax Receipts,-25878
2007,September,Profile,Customs,23780
2007,September,Profile,Excise Duty,527900
2007,September,Profile,Capital Gains Tax,53480
2007,September,Profile,Capital Acquisitions Tax,32430
2007,September,Profile,Stamps,344430
2007,September,Profile,Income Tax,962340
2007,September,Profile,Corporation Tax,285890
2007,September,Profile,Valued Added Tax,2107230
2007,October,Actual Outturn,Customs,22501
2007,October,Actual Outturn,Excise Duty,381695
2007,October,Actual Outturn,Capital Gains Tax,179672
2007,October,Actual Outturn,Capital Acquisitions Tax,31417
2007,October,Actual Outturn,Stamps,267815
2007,October,Actual Outturn,Income Tax,1498808
2007,October,Actual Outturn,Corporation Tax,640216
2007,October,Actual Outturn,Valued Added Tax,442303
2007,October,Actual Outturn,Training and Employment Levy,426
2007,October,Actual Outturn,Unallocated Tax Receipts,7918
2007,October,Profile,Customs,26980
2007,October,Profile,Excise Duty,432200
2007,October,Profile,Capital Gains Tax,222010
2007,October,Profile,Capital Acquisitions Tax,31060
2007,October,Profile,Stamps,339400
2007,October,Profile,Income Tax,1259050
2007,October,Profile,Corporation Tax,892980
2007,October,Profile,Valued Added Tax,409760
2007,November,Actual Outturn,Customs,28411
2007,November,Actual Outturn,Excise Duty,454714
2007,November,Actual Outturn,Capital Gains Tax,1634680
2007,November,Actual Outturn,Capital Acquisitions Tax,34823
2007,November,Actual Outturn,Stamps,209206
2007,November,Actual Outturn,Income Tax,2216406
2007,November,Actual Outturn,Corporation Tax,3232181
2007,November,Actual Outturn,Valued Added Tax,1875341
2007,November,Actual Outturn,Unallocated Tax Receipts,51503
2007,November,Profile,Customs,23380
2007,November,Profile,Excise Duty,448100
2007,November,Profile,Capital Gains Tax,1713870
2007,November,Profile,Capital Acquisitions Tax,42540
2007,November,Profile,Stamps,367230
2007,November,Profile,Income Tax,2549680
2007,November,Profile,Corporation Tax,3623310
2007,November,Profile,Valued Added Tax,2169700
2007,December  ,Actual Outturn,Customs,18660
2007,December  ,Actual Outturn,Excise Duty,663553
2007,December  ,Actual Outturn,Capital Gains Tax,96219
2007,December  ,Actual Outturn,Capital Acquisitions Tax,42594
2007,December  ,Actual Outturn,Stamps,202189
2007,December  ,Actual Outturn,Income Tax,1033790
2007,December  ,Actual Outturn,Corporation Tax,194620
2007,December  ,Actual Outturn,Valued Added Tax,409346
2007,December  ,Actual Outturn,Training and Employment Levy,536
2007,December  ,Actual Outturn,Unallocated Tax Receipts,-84421
2007,December  ,Profile,Customs,29360
2007,December  ,Profile,Excise Duty,626700
2007,December  ,Profile,Capital Gains Tax,107460
2007,December  ,Profile,Capital Acquisitions Tax,23370
2007,December  ,Profile,Stamps,311440
2007,December  ,Profile,Income Tax,978900
2007,December  ,Profile,Corporation Tax,105920
2007,December  ,Profile,Valued Added Tax,388900
2008,January,Actual Outturn,Customs,24882
2008,January,Actual Outturn,Excise Duty,472143
2008,January,Actual Outturn,Capital Gains Tax,128716
2008,January,Actual Outturn,Capital Acquisitions Tax,26511
2008,January,Actual Outturn,Stamps,180012
2008,January,Actual Outturn,Income Tax,1208254
2008,January,Actual Outturn,Corporation Tax,196585
2008,January,Actual Outturn,Valued Added Tax,2335014
2008,January,Actual Outturn,Training and Employment Levy,218
2008,January,Actual Outturn,Unallocated Tax Receipts,37463
2008,January,Profile,Customs,17000
2008,January,Profile,Excise Duty,464900
2008,January,Profile,Capital Gains Tax,137000
2008,January,Profile,Capital Acquisitions Tax,26130
2008,January,Profile,Stamps,175000
2008,January,Profile,Income Tax,1154110
2008,January,Profile,Corporation Tax,200000
2008,January,Profile,Valued Added Tax,2400150
2008,February,Actual Outturn,Customs,21484
2008,February,Actual Outturn,Excise Duty,450506
2008,February,Actual Outturn,Capital Gains Tax,386973
2008,February,Actual Outturn,Capital Acquisitions Tax,35393
2008,February,Actual Outturn,Stamps,192065
2008,February,Actual Outturn,Income Tax,1037143
2008,February,Actual Outturn,Corporation Tax,455167
2008,February,Actual Outturn,Valued Added Tax,363700
2008,February,Actual Outturn,Unallocated Tax Receipts,9471
2008,February,Profile,Customs,28430
2008,February,Profile,Excise Duty,449600
2008,February,Profile,Capital Gains Tax,650000
2008,February,Profile,Capital Acquisitions Tax,28334
2008,February,Profile,Stamps,195000
2008,February,Profile,Income Tax,1092221
2008,February,Profile,Corporation Tax,550000
2008,February,Profile,Valued Added Tax,510020
2008,March,Actual Outturn,Customs,29087
2008,March,Actual Outturn,Excise Duty,435916
2008,March,Actual Outturn,Capital Gains Tax,30587
2008,March,Actual Outturn,Capital Acquisitions Tax,21073
2008,March,Actual Outturn,Stamps,157528
2008,March,Actual Outturn,Income Tax,872648
2008,March,Actual Outturn,Corporation Tax,167760
2008,March,Actual Outturn,Valued Added Tax,1827988
2008,March,Actual Outturn,Training and Employment Levy,38
2008,March,Actual Outturn,Unallocated Tax Receipts,2491
2008,March,Profile,Customs,23640
2008,March,Profile,Excise Duty,487600
2008,March,Profile,Capital Gains Tax,70000
2008,March,Profile,Capital Acquisitions Tax,37791
2008,March,Profile,Stamps,175000
2008,March,Profile,Income Tax,840795
2008,March,Profile,Corporation Tax,125000
2008,March,Profile,Valued Added Tax,1869680
2008,April,Actual Outturn,Customs,22019
2008,April,Actual Outturn,Excise Duty,529621
2008,April,Actual Outturn,Capital Gains Tax,37196
2008,April,Actual Outturn,Capital Acquisitions Tax,30368
2008,April,Actual Outturn,Stamps,147935
2008,April,Actual Outturn,Income Tax,922405
2008,April,Actual Outturn,Corporation Tax,156500
2008,April,Actual Outturn,Valued Added Tax,351226
2008,April,Actual Outturn,Training and Employment Levy,42
2008,April,Actual Outturn,Unallocated Tax Receipts,-40229
2008,April,Profile,Customs,25410
2008,April,Profile,Excise Duty,545000
2008,April,Profile,Capital Gains Tax,60000
2008,April,Profile,Capital Acquisitions Tax,32731
2008,April,Profile,Stamps,185000
2008,April,Profile,Income Tax,963833
2008,April,Profile,Corporation Tax,105000
2008,April,Profile,Valued Added Tax,374970
2008,May,Actual Outturn,Customs,19256
2008,May,Actual Outturn,Excise Duty,465062
2008,May,Actual Outturn,Capital Gains Tax,18584
2008,May,Actual Outturn,Capital Acquisitions Tax,28827
2008,May,Actual Outturn,Stamps,128394
2008,May,Actual Outturn,Income Tax,935452
2008,May,Actual Outturn,Corporation Tax,381351
2008,May,Actual Outturn,Valued Added Tax,1855918
2008,May,Actual Outturn,Training and Employment Levy,79
2008,May,Actual Outturn,Unallocated Tax Receipts,24846
2008,May,Profile,Customs,27360
2008,May,Profile,Excise Duty,494100
2008,May,Profile,Capital Gains Tax,45000
2008,May,Profile,Capital Acquisitions Tax,39834
2008,May,Profile,Stamps,205000
2008,May,Profile,Income Tax,891577
2008,May,Profile,Corporation Tax,415000
2008,May,Profile,Valued Added Tax,2170110
2008,June,Actual Outturn,Customs,18203
2008,June,Actual Outturn,Excise Duty,437517
2008,June,Actual Outturn,Capital Gains Tax,21249
2008,June,Actual Outturn,Capital Acquisitions Tax,24502
2008,June,Actual Outturn,Stamps,156088
2008,June,Actual Outturn,Income Tax,947082
2008,June,Actual Outturn,Corporation Tax,73613
2008,June,Actual Outturn,Valued Added Tax,344059
2008,June,Actual Outturn,Training and Employment Levy,70
2008,June,Actual Outturn,Unallocated Tax Receipts,-16687
2008,June,Profile,Customs,25520
2008,June,Profile,Excise Duty,520100
2008,June,Profile,Capital Gains Tax,38000
2008,June,Profile,Capital Acquisitions Tax,32539
2008,June,Profile,Stamps,240000
2008,June,Profile,Income Tax,1008374
2008,June,Profile,Corporation Tax,75000
2008,June,Profile,Valued Added Tax,349930
2008,July,Actual Outturn,Customs,17988
2008,July,Actual Outturn,Excise Duty,474179
2008,July,Actual Outturn,Capital Gains Tax,32600
2008,July,Actual Outturn,Capital Acquisitions Tax,22078
2008,July,Actual Outturn,Stamps,181375
2008,July,Actual Outturn,Income Tax,955811
2008,July,Actual Outturn,Corporation Tax,1875
2008,July,Actual Outturn,Valued Added Tax,1853324
2008,July,Actual Outturn,Unallocated Tax Receipts,6564
2008,July,Profile,Customs,26190
2008,July,Profile,Excise Duty,476800
2008,July,Profile,Capital Gains Tax,62000
2008,July,Profile,Capital Acquisitions Tax,36162
2008,July,Profile,Stamps,300000
2008,July,Profile,Income Tax,1020207
2008,July,Profile,Corporation Tax,90000
2008,July,Profile,Valued Added Tax,2310470
2008,August,Actual Outturn,Customs,20524
2008,August,Actual Outturn,Excise Duty,406702
2008,August,Actual Outturn,Capital Gains Tax,22764
2008,August,Actual Outturn,Capital Acquisitions Tax,24297
2008,August,Actual Outturn,Stamps,117093
2008,August,Actual Outturn,Income Tax,973810
2008,August,Actual Outturn,Corporation Tax,287688
2008,August,Actual Outturn,Valued Added Tax,252614
2008,August,Actual Outturn,Training and Employment Levy,140
2008,August,Actual Outturn,Unallocated Tax Receipts,-5405
2008,August,Profile,Customs,25750
2008,August,Profile,Excise Duty,492300
2008,August,Profile,Capital Gains Tax,53000
2008,August,Profile,Capital Acquisitions Tax,37678
2008,August,Profile,Stamps,265000
2008,August,Profile,Income Tax,1037525
2008,August,Profile,Corporation Tax,350000
2008,August,Profile,Valued Added Tax,375390
2008,September,Actual Outturn,Customs,20860
2008,September,Actual Outturn,Excise Duty,479350
2008,September,Actual Outturn,Capital Gains Tax,15257
2008,September,Actual Outturn,Capital Acquisitions Tax,26112
2008,September,Actual Outturn,Stamps,97594
2008,September,Actual Outturn,Income Tax,837910
2008,September,Actual Outturn,Corporation Tax,401412
2008,September,Actual Outturn,Valued Added Tax,1814642
2008,September,Actual Outturn,Training and Employment Levy,105
2008,September,Actual Outturn,Unallocated Tax Receipts,11520
2008,September,Profile,Customs,25240
2008,September,Profile,Excise Duty,527000
2008,September,Profile,Capital Gains Tax,45000
2008,September,Profile,Capital Acquisitions Tax,32000
2008,September,Profile,Stamps,270000
2008,September,Profile,Income Tax,949282
2008,September,Profile,Corporation Tax,520000
2008,September,Profile,Valued Added Tax,2169820
2008,October,Actual Outturn,Customs,25870
2008,October,Actual Outturn,Excise Duty,431688
2008,October,Actual Outturn,Capital Gains Tax,109734
2008,October,Actual Outturn,Capital Acquisitions Tax,25622
2008,October,Actual Outturn,Stamps,93273
2008,October,Actual Outturn,Income Tax,1562705
2008,October,Actual Outturn,Corporation Tax,404934
2008,October,Actual Outturn,Valued Added Tax,315932
2008,October,Actual Outturn,Training and Employment Levy,54
2008,October,Actual Outturn,Unallocated Tax Receipts,27770
2008,October,Profile,Customs,27250
2008,October,Profile,Excise Duty,428800
2008,October,Profile,Capital Gains Tax,240000
2008,October,Profile,Capital Acquisitions Tax,32000
2008,October,Profile,Stamps,300000
2008,October,Profile,Income Tax,1553401
2008,October,Profile,Corporation Tax,655000
2008,October,Profile,Valued Added Tax,455000
2008,November,Actual Outturn,Customs,27809
2008,November,Actual Outturn,Excise Duty,524279
2008,November,Actual Outturn,Capital Gains Tax,576627
2008,November,Actual Outturn,Capital Acquisitions Tax,29680
2008,November,Actual Outturn,Stamps,71101
2008,November,Actual Outturn,Income Tax,2023572
2008,November,Actual Outturn,Corporation Tax,2452671
2008,November,Actual Outturn,Valued Added Tax,1720065
2008,November,Actual Outturn,Unallocated Tax Receipts,-41892
2008,November,Profile,Customs,25630
2008,November,Profile,Excise Duty,459700
2008,November,Profile,Capital Gains Tax,1710000
2008,November,Profile,Capital Acquisitions Tax,35926
2008,November,Profile,Stamps,280000
2008,November,Profile,Income Tax,2326035
2008,November,Profile,Corporation Tax,3450000
2008,November,Profile,Valued Added Tax,2164680
2008,December  ,Actual Outturn,Customs,19
2008,December  ,Actual Outturn,Excise Duty,336375
2008,December  ,Actual Outturn,Capital Gains Tax,49793
2008,December  ,Actual Outturn,Capital Acquisitions Tax,37137
2008,December  ,Actual Outturn,Stamps,128334
2008,December  ,Actual Outturn,Income Tax,900065
2008,December  ,Actual Outturn,Corporation Tax,86338
2008,December  ,Actual Outturn,Valued Added Tax,395120
2008,December  ,Actual Outturn,Training and Employment Levy,286
2008,December  ,Actual Outturn,Unallocated Tax Receipts,-15912
2008,December  ,Profile,Customs,22580
2008,December  ,Profile,Excise Duty,644000
2008,December  ,Profile,Capital Gains Tax,100000
2008,December  ,Profile,Capital Acquisitions Tax,33555
2008,December  ,Profile,Stamps,265000
2008,December  ,Profile,Income Tax,1062637
2008,December  ,Profile,Corporation Tax,165000
2008,December  ,Profile,Valued Added Tax,399780
2009,January,Actual Outturn,Customs,19758
2009,January,Actual Outturn,Excise Duty,310326
2009,January,Actual Outturn,Capital Gains Tax,35873
2009,January,Actual Outturn,Capital Acquisitions Tax,19206
2009,January,Actual Outturn,Stamps,50023
2009,January,Actual Outturn,Income Tax,1164672
2009,January,Actual Outturn,Corporation Tax,120943
2009,January,Actual Outturn,Valued Added Tax,1969657
2009,January,Actual Outturn,Unallocated Tax Receipts,44248
2009,January,Profile,Customs,20000
2009,January,Profile,Excise Duty,310000
2009,January,Profile,Capital Gains Tax,36000
2009,January,Profile,Capital Acquisitions Tax,19000
2009,January,Profile,Stamps,50000
2009,January,Profile,Income Tax,1187000
2009,January,Profile,Corporation Tax,121000
2009,January,Profile,Valued Added Tax,1992000
2009,February,Actual Outturn,Customs,17752
2009,February,Actual Outturn,Excise Duty,309296
2009,February,Actual Outturn,Capital Gains Tax,105262
2009,February,Actual Outturn,Capital Acquisitions Tax,23107
2009,February,Actual Outturn,Stamps,103482
2009,February,Actual Outturn,Income Tax,915481
2009,February,Actual Outturn,Corporation Tax,289852
2009,February,Actual Outturn,Valued Added Tax,277114
2009,February,Actual Outturn,Training and Employment Levy,145
2009,February,Actual Outturn,Unallocated Tax Receipts,-17356
2009,February,Profile,Customs,18000
2009,February,Profile,Excise Duty,310000
2009,February,Profile,Capital Gains Tax,105000
2009,February,Profile,Capital Acquisitions Tax,23000
2009,February,Profile,Stamps,104000
2009,February,Profile,Income Tax,910000
2009,February,Profile,Corporation Tax,290000
2009,February,Profile,Valued Added Tax,265000
2009,March,Actual Outturn,Customs,17367
2009,March,Actual Outturn,Excise Duty,305960
2009,March,Actual Outturn,Capital Gains Tax,20853
2009,March,Actual Outturn,Capital Acquisitions Tax,22087
2009,March,Actual Outturn,Stamps,47313
2009,March,Actual Outturn,Income Tax,834161
2009,March,Actual Outturn,Corporation Tax,51721
2009,March,Actual Outturn,Valued Added Tax,1450698
2009,March,Actual Outturn,Training and Employment Levy,515
2009,March,Actual Outturn,Unallocated Tax Receipts,755
2009,March,Profile,Customs,17000
2009,March,Profile,Excise Duty,306000
2009,March,Profile,Capital Gains Tax,21000
2009,March,Profile,Capital Acquisitions Tax,22000
2009,March,Profile,Stamps,47000
2009,March,Profile,Income Tax,831000
2009,March,Profile,Corporation Tax,52000
2009,March,Profile,Valued Added Tax,1454000
2009,April,Actual Outturn,Customs,14971
2009,April,Actual Outturn,Excise Duty,400967
2009,April,Actual Outturn,Capital Gains Tax,16778
2009,April,Actual Outturn,Capital Acquisitions Tax,24745
2009,April,Actual Outturn,Stamps,44060
2009,April,Actual Outturn,Income Tax,883089
2009,April,Actual Outturn,Corporation Tax,70549
2009,April,Actual Outturn,Valued Added Tax,137253
2009,April,Actual Outturn,Training and Employment Levy,127
2009,April,Actual Outturn,Unallocated Tax Receipts,-4643
2009,April,Profile,Customs,17000
2009,April,Profile,Excise Duty,349520
2009,April,Profile,Capital Gains Tax,20230
2009,April,Profile,Capital Acquisitions Tax,26890
2009,April,Profile,Stamps,49530
2009,April,Profile,Income Tax,862810
2009,April,Profile,Corporation Tax,97860
2009,April,Profile,Valued Added Tax,190080
2009,May,Actual Outturn,Customs,18432
2009,May,Actual Outturn,Excise Duty,427283
2009,May,Actual Outturn,Capital Gains Tax,10460
2009,May,Actual Outturn,Capital Acquisitions Tax,16745
2009,May,Actual Outturn,Stamps,49492
2009,May,Actual Outturn,Income Tax,836860
2009,May,Actual Outturn,Corporation Tax,605920
2009,May,Actual Outturn,Valued Added Tax,1470837
2009,May,Actual Outturn,Training and Employment Levy,44
2009,May,Actual Outturn,Unallocated Tax Receipts,-4958
2009,May,Profile,Customs,20100
2009,May,Profile,Excise Duty,379820
2009,May,Profile,Capital Gains Tax,19830
2009,May,Profile,Capital Acquisitions Tax,25060
2009,May,Profile,Stamps,64470
2009,May,Profile,Income Tax,798640
2009,May,Profile,Corporation Tax,451500
2009,May,Profile,Valued Added Tax,1610180
2009,June,Actual Outturn,Customs,14647
2009,June,Actual Outturn,Excise Duty,387212
2009,June,Actual Outturn,Capital Gains Tax,10181
2009,June,Actual Outturn,Capital Acquisitions Tax,16407
2009,June,Actual Outturn,Stamps,49969
2009,June,Actual Outturn,Income Tax,799634
2009,June,Actual Outturn,Corporation Tax,741069
2009,June,Actual Outturn,Valued Added Tax,263975
2009,June,Actual Outturn,Training and Employment Levy,36
2009,June,Actual Outturn,Unallocated Tax Receipts,-2919
2009,June,Profile,Customs,19000
2009,June,Profile,Excise Duty,405040
2009,June,Profile,Capital Gains Tax,19830
2009,June,Profile,Capital Acquisitions Tax,23810
2009,June,Profile,Stamps,69010
2009,June,Profile,Income Tax,957750
2009,June,Profile,Corporation Tax,750060
2009,June,Profile,Valued Added Tax,259780
2009,July,Actual Outturn,Customs,15494
2009,July,Actual Outturn,Excise Duty,437526
2009,July,Actual Outturn,Capital Gains Tax,1613
2009,July,Actual Outturn,Capital Acquisitions Tax,17412
2009,July,Actual Outturn,Stamps,65862
2009,July,Actual Outturn,Income Tax,922510
2009,July,Actual Outturn,Corporation Tax,4928
2009,July,Actual Outturn,Valued Added Tax,1391949
2009,July,Actual Outturn,Training and Employment Levy,29
2009,July,Actual Outturn,Unallocated Tax Receipts,21920
2009,July,Profile,Customs,20850
2009,July,Profile,Excise Duty,410190
2009,July,Profile,Capital Gains Tax,19560
2009,July,Profile,Capital Acquisitions Tax,23410
2009,July,Profile,Stamps,111870
2009,July,Profile,Income Tax,994010
2009,July,Profile,Corporation Tax,47720
2009,July,Profile,Valued Added Tax,1638340
2009,August,Actual Outturn,Customs,13716
2009,August,Actual Outturn,Excise Duty,390235
2009,August,Actual Outturn,Capital Gains Tax,10500
2009,August,Actual Outturn,Capital Acquisitions Tax,33431
2009,August,Actual Outturn,Stamps,32249
2009,August,Actual Outturn,Income Tax,870934
2009,August,Actual Outturn,Corporation Tax,533049
2009,August,Actual Outturn,Valued Added Tax,241790
2009,August,Actual Outturn,Unallocated Tax Receipts,-23108
2009,August,Profile,Customs,18200
2009,August,Profile,Excise Duty,408620
2009,August,Profile,Capital Gains Tax,19540
2009,August,Profile,Capital Acquisitions Tax,24460
2009,August,Profile,Stamps,89490
2009,August,Profile,Income Tax,949160
2009,August,Profile,Corporation Tax,215680
2009,August,Profile,Valued Added Tax,229640
2009,September,Actual Outturn,Customs,18988
2009,September,Actual Outturn,Excise Duty,343420
2009,September,Actual Outturn,Capital Gains Tax,7962
2009,September,Actual Outturn,Capital Acquisitions Tax,20278
2009,September,Actual Outturn,Stamps,237137
2009,September,Actual Outturn,Income Tax,646174
2009,September,Actual Outturn,Corporation Tax,183235
2009,September,Actual Outturn,Valued Added Tax,1454018
2009,September,Actual Outturn,Training and Employment Levy,92
2009,September,Actual Outturn,Unallocated Tax Receipts,2772
2009,September,Profile,Customs,20050
2009,September,Profile,Excise Duty,415150
2009,September,Profile,Capital Gains Tax,19690
2009,September,Profile,Capital Acquisitions Tax,24950
2009,September,Profile,Stamps,73800
2009,September,Profile,Income Tax,862290
2009,September,Profile,Corporation Tax,365330
2009,September,Profile,Valued Added Tax,1670990
2009,October,Actual Outturn,Customs,19947
2009,October,Actual Outturn,Excise Duty,419607
2009,October,Actual Outturn,Capital Gains Tax,15108
2009,October,Actual Outturn,Capital Acquisitions Tax,23102
2009,October,Actual Outturn,Stamps,49564
2009,October,Actual Outturn,Income Tax,1328187
2009,October,Actual Outturn,Corporation Tax,226064
2009,October,Actual Outturn,Valued Added Tax,294768
2009,October,Actual Outturn,Unallocated Tax Receipts,14166
2009,October,Profile,Customs,22300
2009,October,Profile,Excise Duty,410420
2009,October,Profile,Capital Gains Tax,20400
2009,October,Profile,Capital Acquisitions Tax,24480
2009,October,Profile,Stamps,113660
2009,October,Profile,Income Tax,1474130
2009,October,Profile,Corporation Tax,181120
2009,October,Profile,Valued Added Tax,252990
2009,November,Actual Outturn,Customs,20409
2009,November,Actual Outturn,Excise Duty,367148
2009,November,Actual Outturn,Capital Gains Tax,47004
2009,November,Actual Outturn,Capital Acquisitions Tax,18604
2009,November,Actual Outturn,Stamps,65431
2009,November,Actual Outturn,Income Tax,1817304
2009,November,Actual Outturn,Corporation Tax,923910
2009,November,Actual Outturn,Valued Added Tax,1416167
2009,November,Actual Outturn,Training and Employment Levy,41
2009,November,Actual Outturn,Unallocated Tax Receipts,-12874
2009,November,Profile,Customs,19350
2009,November,Profile,Excise Duty,414780
2009,November,Profile,Capital Gains Tax,20390
2009,November,Profile,Capital Acquisitions Tax,25680
2009,November,Profile,Stamps,85970
2009,November,Profile,Income Tax,1767690
2009,November,Profile,Corporation Tax,1059780
2009,November,Profile,Valued Added Tax,1554460
2009,December  ,Actual Outturn,Customs,17117
2009,December  ,Actual Outturn,Excise Duty,603572
2009,December  ,Actual Outturn,Capital Gains Tax,260255
2009,December  ,Actual Outturn,Capital Acquisitions Tax,19134
2009,December  ,Actual Outturn,Stamps,134928
2009,December  ,Actual Outturn,Income Tax,816229
2009,December  ,Actual Outturn,Corporation Tax,149066
2009,December  ,Actual Outturn,Valued Added Tax,301426
2009,December  ,Actual Outturn,Training and Employment Levy,184
