Year,Month,Entry Type,Tax Type,Amount
1986,September,Actual Outturn,Excise Duty,159160
1986,September,Actual Outturn,Capital Gains Tax,4656
1986,September,Actual Outturn,Stamps,48551
1986,September,Actual Outturn,Income Tax,227705
1986,September,Actual Outturn,Corporation Tax,18637
1986,September,Actual Outturn,Valued Added Tax,225922
1986,September,Actual Outturn,Training and Employment Levy,2304
1986,September,Actual Outturn,Motor Vehicle Duties,12241
1986,October,Actual Outturn,Customs,11047
1986,October,Actual Outturn,Excise Duty,142952
1986,October,Actual Outturn,Capital Gains Tax,3521
1986,October,Actual Outturn,Stamps,13193
1986,October,Actual Outturn,Income Tax,396873
1986,October,Actual Outturn,Corporation Tax,26698
1986,October,Actual Outturn,Valued Added Tax,116441
1986,October,Actual Outturn,Training and Employment Levy,22190
1986,October,Actual Outturn,Motor Vehicle Duties,13018
1986,November,Actual Outturn,Customs,7618
1986,November,Actual Outturn,Excise Duty,144344
1986,November,Actual Outturn,Capital Gains Tax,3273
1986,November,Actual Outturn,Stamps,42780
1986,November,Actual Outturn,Income Tax,274610
1986,November,Actual Outturn,Corporation Tax,43581
1986,November,Actual Outturn,Valued Added Tax,220199
1986,November,Actual Outturn,Training and Employment Levy,10005
1986,November,Actual Outturn,Motor Vehicle Duties,12941
1986,December  ,Actual Outturn,Customs,7824
1986,December  ,Actual Outturn,Excise Duty,214982
1986,December  ,Actual Outturn,Capital Gains Tax,3803
1986,December  ,Actual Outturn,Stamps,10794
1986,December  ,Actual Outturn,Income Tax,275674
1986,December  ,Actual Outturn,Corporation Tax,12837
1986,December  ,Actual Outturn,Valued Added Tax,135933
1986,December  ,Actual Outturn,Training and Employment Levy,13509
1986,December  ,Actual Outturn,Motor Vehicle Duties,10303
1987,January,Actual Outturn,Customs,9777
1987,January,Actual Outturn,Excise Duty,96819
1987,January,Actual Outturn,Capital Gains Tax,2627
1987,January,Actual Outturn,Stamps,9180
1987,January,Actual Outturn,Income Tax,202349
1987,January,Actual Outturn,Corporation Tax,7996
1987,January,Actual Outturn,Valued Added Tax,187177
1987,January,Actual Outturn,Training and Employment Levy,10175
1987,January,Actual Outturn,Motor Vehicle Duties,14272
1987,February,Actual Outturn,Customs,8253
1987,February,Actual Outturn,Excise Duty,151616
1987,February,Actual Outturn,Capital Gains Tax,2840
1987,February,Actual Outturn,Stamps,14272
1987,February,Actual Outturn,Income Tax,270369
1987,February,Actual Outturn,Corporation Tax,18249
1987,February,Actual Outturn,Valued Added Tax,171323
1987,February,Actual Outturn,Training and Employment Levy,8790
1987,February,Actual Outturn,Motor Vehicle Duties,19321
1987,March,Actual Outturn,Customs,5714
1987,March,Actual Outturn,Excise Duty,133846
1987,March,Actual Outturn,Capital Gains Tax,3551
1987,March,Actual Outturn,Stamps,23314
1987,March,Actual Outturn,Income Tax,231706
1987,March,Actual Outturn,Corporation Tax,15850
1987,March,Actual Outturn,Valued Added Tax,187730
1987,March,Actual Outturn,Training and Employment Levy,10380
1987,March,Actual Outturn,Motor Vehicle Duties,15455
1987,April,Actual Outturn,Customs,10158
1987,April,Actual Outturn,Excise Duty,136357
1987,April,Actual Outturn,Capital Gains Tax,4223
1987,April,Actual Outturn,Stamps,7046
1987,April,Actual Outturn,Income Tax,390941
1987,April,Actual Outturn,Corporation Tax,22543
1987,April,Actual Outturn,Valued Added Tax,122894
1987,April,Actual Outturn,Training and Employment Levy,11061
1987,April,Actual Outturn,Motor Vehicle Duties,14782
1987,May,Actual Outturn,Customs,8888
1987,May,Actual Outturn,Excise Duty,135735
1987,May,Actual Outturn,Capital Gains Tax,7966
1987,May,Actual Outturn,Stamps,13905
1987,May,Actual Outturn,Income Tax,261256
1987,May,Actual Outturn,Corporation Tax,23086
1987,May,Actual Outturn,Valued Added Tax,197444
1987,May,Actual Outturn,Training and Employment Levy,11084
1987,May,Actual Outturn,Motor Vehicle Duties,14016
1987,June,Actual Outturn,Customs,10158
1987,June,Actual Outturn,Excise Duty,151115
1987,June,Actual Outturn,Capital Gains Tax,3036
1987,June,Actual Outturn,Stamps,13398
1987,June,Actual Outturn,Income Tax,250170
1987,June,Actual Outturn,Corporation Tax,23108
1987,June,Actual Outturn,Valued Added Tax,116584
1987,June,Actual Outturn,Training and Employment Levy,11371
1987,June,Actual Outturn,Motor Vehicle Duties,14447
1987,July,Actual Outturn,Customs,11555
1987,July,Actual Outturn,Excise Duty,152749
1987,July,Actual Outturn,Capital Gains Tax,5620
1987,July,Actual Outturn,Stamps,20588
1987,July,Actual Outturn,Income Tax,241431
1987,July,Actual Outturn,Corporation Tax,66864
1987,July,Actual Outturn,Valued Added Tax,236904
1987,July,Actual Outturn,Training and Employment Levy,13215
1987,July,Actual Outturn,Motor Vehicle Duties,15137
1987,August,Actual Outturn,Customs,10920
1987,August,Actual Outturn,Excise Duty,148619
1987,August,Actual Outturn,Capital Gains Tax,3565
1987,August,Actual Outturn,Stamps,23243
